model_name,timestamp,latency_ms,input_tokens,output_tokens,cost,arena_score,context_window,is_cloud
gpt-4o-mini,2025-05-06T13:04:16.625011+00:00,9488.593101501465,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:05:27.452867+00:00,10808.25424194336,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:06:37.118762+00:00,9646.832704544067,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:07:47.951476+00:00,10817.182302474976,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:08:57.024995+00:00,9069.17405128479,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:10:07.536496+00:00,10493.285179138184,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:11:17.733325+00:00,10180.885076522827,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:12:28.038441+00:00,10294.583797454834,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:13:36.997352+00:00,8945.917844772339,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:14:46.038021+00:00,9024.57857131958,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:15:55.479129+00:00,9437.992572784424,128,500,0.00031919999999999995,128000,True,
